cu_name,address1,city,state,zipcode,new_name,cu_name
COMMUNITY 1ST CREDIT UNION,235 Richmond Ave.,Ottumwa,Iowa,52502,,COMMUNITY FINANCIAL CREDIT UNION
COMMUNITY CREDIT UNION OF FLORIDA,1030 S US Highway 1,Rockledge,Florida,32955,,COMMUNITY FIRST GUAM FEDERAL CREDIT UNION
COMMUNITY CREDIT UNION OF SOUTHERN HUMBOLDT,757 Redwood Drive,Garberville,California,95542,,COMMUNITY PLUS FEDERAL CREDIT UNION
COMMUNITY FINANCIAL CREDIT UNION,815 W Tampa,Springfield,Missouri,65802,,COMMUNITY PROMISE FCU
COMMUNITY FIRST GUAM FEDERAL CREDIT UNION,"238 AFC Flores Street, Suite 102",Hagatna,Guam,96910,,COMMUNITY SOUTH CREDIT UNION
COMMUNITY PLUS FEDERAL CREDIT UNION,526 E Champaign Ave  PO Box 255,Rantoul,Illinois,61866,,COMMUNITYWORKS FEDERAL CREDIT UNION
COMMUNITY PROMISE FCU,1313 Portage St  PO Box 3337,Kalamazoo,Michigan,49003,,COOPERATIVE CENTER FEDERAL CREDIT UNION
COMMUNITY SOUTH CREDIT UNION,1044 Highway 90,Chipley,Florida,32428,,CORE CREDIT UNION
COMMUNITYWORKS FEDERAL CREDIT UNION,115 W. Antrim Drive,Greenville,South Carolina,29607,,COVANTAGE CREDIT UNION
COOPERATIVE CENTER FEDERAL CREDIT UNION,2001 Ashby Avenue,Berkeley,California,94703,,CREDIT UNION ONE
CORE CREDIT UNION,PO Box 1987,Statesboro,Georgia,30459,,CU COMMUNITY CREDIT UNION
COVANTAGE CREDIT UNION,PO Box 107  723 6th Avenue,Antigo,Wisconsin,54409,,CUTTING EDGE FEDERAL CREDIT UNION
CREDIT UNION ONE,400 E. Nine Mile Road,Ferndale,Michigan,48820,,DC CREDIT UNION
CU COMMUNITY CREDIT UNION,818 North Benton,Springfield,Missouri,65802,,DEMOCRACY FCU
CUTTING EDGE FEDERAL CREDIT UNION,4620 SE International Way Ste. 105,Milwaukie,Oregon,97222,,DEMOPOLIS FEDERAL CREDIT UNION
DEMOCRACY FCU,"400 N. Columbus St., Suite 300",Alexandria,Virginia,22314,,DESERT COMMUNITIES FCU
DEMOPOLIS FEDERAL CREDIT UNION,106 East Washington Street  PO Box 727,Demopolis,Alabama,36732,,DIAMOND LAKES FEDERAL CREDIT UNION
DESERT COMMUNITIES FCU,305 D Street,Needles,California,92363,,DRESSER ALEXANDRIA FCU
DIAMOND LAKES FEDERAL CREDIT UNION,7333 Highway 270,Malvern,Arkansas,72104,,DUPACO COMMUNITY CREDIT UNION
DISTRICT GOVERNMENT EMPLOYEES FEDERAL CREDIT UNION,2000 14th Street NW  2nd Floor,Washington,District of Columbia,20009,,DUPONT COMMUNITY CREDIT UNION
DRESSER ALEXANDRIA FCU,8034 Shreveport Hwy,Pineville,Louisiana,71360,,EAGLE ONE FEDERAL CREDIT UNION
DUPACO COMMUNITY CREDIT UNION,3999 Pennsylvania Avenue,Dubuque,Iowa,52002,,EAST END FOOD COOP FCU
DUPONT COMMUNITY CREDIT UNION,P.O. Box 1365  140 Lucy Lane,Waynesboro,Virginia,22980,,EAST RIVER DEVELOPMENT ALLIANCE FEDERAL CREDIT UNION
EAGLE ONE FEDERAL CREDIT UNION,3301 Philadelphia Pike,Claymont,Delaware,19703,,ELGA CREDIT UNION
EAST END FOOD COOP FCU,7526 Meade St.,Pittsburgh,Pennsylvania,15208,,EMPOWER FCU
EAST RIVER DEVELOPMENT ALLIANCE FEDERAL CREDIT UNION,13-03B 40th Avenue  Ground Floor,Long Island City,New York,11101,,ENTERTAINMENT INDUSTRIES FCU
ELGA CREDIT UNION,2305 S Center Rd,Burton,Michigan,48519,,ENVISION CREDIT UNION
EMPOWER FCU,401 N Salina St,Syracuse,New York,13203,,EPISCOPAL COMMUNITY FEDERAL CREDIT UNION
ENTERTAINMENT INDUSTRIES FCU,550 Madison Ave.,New York,New York,10022,,EQUISHARE CREDIT UNION
ENVISION CREDIT UNION,PO Box 5198,Tallahassee,Florida,32314,,ESSENTIAL FEDERAL CREDIT UNION
EPISCOPAL COMMUNITY FEDERAL CREDIT UNION,840 ECHO PARK AVE.,LOS ANGELES,California,90026,,EVERYONES FEDERAL CREDIT UNION
EQUISHARE CREDIT UNION,9100 W Central,Wichita,Kansas,67212,,EXPRESS CREDIT UNION
ESSENTIAL FEDERAL CREDIT UNION,PO Box 783,Plaquemien,Louisiana,70765,,FAIRWINDS CREDIT UNION
EVERYONES FEDERAL CREDIT UNION,PO Box 1023   505 E. ROUTE 66 BLVD.,Tucumcari,New Mexico,88401,,FAITH COMMUNITY UNITED CREDIT UNION
EXPRESS CREDIT UNION,"1930 6th Ave S, Ste 104",Seattle,Washington,98134,,FERGUSON FEDERAL CREDIT UNION
FAIRWINDS CREDIT UNION,"135 W Central Blvd, Suite 1220",Orlando,Florida,32801,,FIDELIS FEDERAL CREDIT UNION
FAITH COMMUNITY UNITED CREDIT UNION,3550 East 93rd Street,Cleveland,Ohio,44105,,FIRST AMERICAN CREDIT UNION
FERGUSON FEDERAL CREDIT UNION,577 NA Sandifer Highway,Monticello,Mississippi,39654,,FIRST FINANCIAL CREDIT UNION
FIDELIS FEDERAL CREDIT UNION,448 West 152nd Street,NEW YORK,New York,10031,,FIRST IMPERIAL CREDIT UNION
FIRST AMERICAN CREDIT UNION,1001 N. Pinal Avenue,Casa Grande,Arizona,85122,,FIRST LIGHT FEDERAL CREDIT UNION
FIRST FINANCIAL CREDIT UNION,601 Tijeras Ave NW,Albuquerque,New Mexico,87102,,FIRST RELIANCE FEDERAL CREDIT UNION
FIRST IMPERIAL CREDIT UNION,1602 W Main St,El Centro,California,92243,,FIRST UNITY FEDERAL CREDIT UNION
FIRST LIGHT FEDERAL CREDIT UNION,9993 KENWORTHY,EL PASO,Texas,79924,,FIVE STAR CREDIT UNION
FIRST RELIANCE FEDERAL CREDIT UNION,205 Collins Industrial Blvd.,Athens,Georgia,30601,,FLORIDA A&M UNIVERSITY FEDERAL CREDIT UNION
FIRST UNITY FEDERAL CREDIT UNION,122 5th Ave   Suite B,McComb,Mississippi,39648,,FLORIDA CREDIT UNION
FIVE STAR CREDIT UNION,411 NORTH FOSTER STREET,DOTHAN,Alabama,36303,,FLORIDA STATE UNIVERSITY CREDIT UNION
FLORIDA A&M UNIVERSITY FEDERAL CREDIT UNION,1610 South Monroe Street,Tallahassee,Florida,32301,,FRANKENMUTH CREDIT UNION
FLORIDA CREDIT UNION,PO Box 5549,Gainesville,Florida,32627,,FREEDOM FIRST FEDERAL CREDIT UNION
FLORIDA STATE UNIVERSITY CREDIT UNION,2806 Sharer Rd.,Tallahassee,Florida,32312,,GECU
FRANKENMUTH CREDIT UNION,PO Box 209,Frankenmuth,Michigan,48734,,GENESEE CO-OP FEDERAL CREDIT UNION
