cu_name,address1,city,state,zipcode,new_name,cu_name
PHENIX PRIDE FEDERAL CREDIT UNION,1810 Opelika Road,Phenix City,Alabama,36867,,POINT WEST CREDIT UNION
POINT WEST CREDIT UNION,718 NE 12th Ave,Portland,Oregon,97232,,PRIORITY CREDIT UNION
PRIORITY CREDIT UNION,301 East Michigan Street,Orlando,Florida,32806,,PROFINANCE FEDERAL CREDIT UNION
PROFINANCE FEDERAL CREDIT UNION,7700 Broadway,Merrillville,Indiana,46410,,PROMISE CREDIT UNION
PROMISE CREDIT UNION,6500 Rookin St  Suite 109-C,Houston,Texas,77074,,PUBLIC SERVICE CREDIT UNION
PUBLIC SERVICE CREDIT UNION,7665 Merriman Road,Romulus,Michigan,48174,,PYRAMID FEDERAL CREDIT UNION
PYRAMID FEDERAL CREDIT UNION,PO Box 12100,Tucson,Arizona,85732,,QUEENS CLUSTER FEDERAL CREDIT UNION
QUEENS CLUSTER FEDERAL CREDIT UNION,127 Engineers Drive,Hicksville,New York,11801,,RAPIDES FEDERAL CREDIT UNION
RAPIDES FEDERAL CREDIT UNION,612 Broadway Avenue,Alexandria,Louisiana,71302,,RED RIVER MILL EMPLOYEES FCU
RED RIVER MILL EMPLOYEES FCU,256 Highway 3175,Natchitoches,Louisiana,71457,,REGIONAL FEDERAL CREDIT UNION
REGIONAL FEDERAL CREDIT UNION,7144 Kennedy Avenue,Hammond,Indiana,46323,,RESOURCE ONE CREDIT UNION
RESOURCE ONE CREDIT UNION,P.O. BOX 660077,Dallas,Texas,75266,,RGV CREDIT UNION
RGV CREDIT UNION,1221 Morgan Blvd.,Harlingen,Texas,78550,,RICHMOND HERITAGE FEDERAL CREDIT UNION
RICHMOND HERITAGE FEDERAL CREDIT UNION,50 West Commerce Road,Richmond,Virginia,23224,,RIO GRANDE CREDIT UNION
RIO GRANDE CREDIT UNION,301 Rio Bravo Boulevard SE,Albuquerque,New Mexico,87105,,RIVER REGION CREDIT UNION
RIVER REGION CREDIT UNION,3124 W. Edgewood,Jefferson City,Missouri,65109,,RIVERWAYS FEDERAL CREDIT UNION
RIVERWAYS FEDERAL CREDIT UNION,1012 Forum Drive,Rolla,Missouri,65401,,ROYAL CREDIT UNION
ROYAL CREDIT UNION,200 Riverfront Terrace,Eau Claire,Wisconsin,54703,,SANTA ANA FCU
SANTA ANA FCU,800 W Santa Ana Blvd,Santa Ana,California,92701,,SANTA CRUZ COMMUNITY CREDIT UNION
SANTA CRUZ COMMUNITY CREDIT UNION,324 Front Street,Santa Cruz,California,95060,,SCE FCU
SCE FCU,12701 Schabarum Avenue,Irwindale,California,91706,,SEASONS FEDERAL CREDIT UNION
SEASONS FEDERAL CREDIT UNION,524 South Main Street,Middletown,Connecticut,6457,,SEATTLE METROPOLITAN CREDIT UNION
SEATTLE METROPOLITAN CREDIT UNION,801 3rd Ave,Seattle,Washington,98104,,SECURITY CREDIT UNION
SECURITY CREDIT UNION,3801 W. Boulevard Drive P.O. Box 5160,Flint,Michigan,48505,,SELCO COMMUNITY CREDIT UNION
SELCO COMMUNITY CREDIT UNION,1050 High Street,Eugene,Oregon,97401,,SELECT FEDERAL CREDIT UNION
SELECT FEDERAL CREDIT UNION,1914 N IH 35,SAN ANTONIO,Texas,78208,,SELF-HELP CREDIT UNION
SELF-HELP CREDIT UNION,301 W Main St,Durham,North Carolina,27701,,SELF-HELP FEDERAL CREDIT UNION
SELF-HELP FEDERAL CREDIT UNION,301 W. Main St.,Durham,North Carolina,27701,,SENTINEL FEDERAL CREDIT UNION
SENTINEL FEDERAL CREDIT UNION,4011 Triple Crown Drive,Rapid City,South Dakota,57701,,SHUFORD FEDERAL CREDIT UNION
SHUFORD FEDERAL CREDIT UNION,882 16th St NE,Hickory,North Carolina,28601,,SISKIYOU CENTRAL CREDIT UNION
SISKIYOU CENTRAL CREDIT UNION,845 4th St.,Yreka,California,96097,,SMART CHOICE
SOFTITE COMMUNITY FEDERAL CREDIT UNION,1201 S ZANE HIGHWAY,MARTINS FERRY,Ohio,43935,,SOFTITE COMMUNITY FEDERAL CREDIT UNION
SOUTH CENTRAL MISSOURI CREDIT UNION,901 East Main Street,Willow Springs,Missouri,65793,,SOUTH CENTRAL MISSOURI CREDIT UNION
SOUTH SIDE COMMUNITY FEDERAL CREDIT UNION,5401 S. Wentworth Ave.  Suite 25,Chicago,Illinois,60609,,SOUTH SIDE COMMUNITY FEDERAL CREDIT UNION
SOUTHEAST FEDERAL CREDIT UNION,665 Historic Hwy 441,Cornelia,Georgia,30531,merged with peach state fcu,SOUTHERN CHAUTAUQUA FEDERAL CREDIT UNION
SOUTHERN CHAUTAUQUA FEDERAL CREDIT UNION,168 E Fairmount Avenue,Lakewood,New York,14750,,SOUTHWEST 66 CREDIT UNION
SOUTHWEST 66 CREDIT UNION,P.O. Box 12010,Odessa,Texas,79768,,ST. LOUIS COMMUNITY CREDIT UNION
ST. LOUIS COMMUNITY CREDIT UNION,3651 Forest Park,St. Louis,Missouri,63108,,ST. MARK CREDIT UNION
ST. MARK CREDIT UNION,8441 S St. Lawrence Avenue,Chicago,Illinois,60619,,STRAITS AREA FEDERAL CREDIT UNION
STRAITS AREA FEDERAL CREDIT UNION,201 Locust Street,Cheboygan,Michigan,49721,,SUNCOAST CREDIT UNION
SUNCOAST CREDIT UNION,P. O. Box 11904  6801 E Hillsborough Avenue,Tampa,Florida,33680,,SYRACUSE COOPERATIVE FEDERAL CREDIT UNION
SUSSEX COUNTY FCU,1941 Bridgeville Highway  PO Box 1800,Seaford,Delaware,19973,,TALLAHASSEE LEON FEDERAL CREDIT UNION
SYRACUSE COOPERATIVE FEDERAL CREDIT UNION,723 Westcott Street,Syracuse,New York,13210,,TAMPA BAY FEDERAL CREDIT UNION
TALLAHASSEE LEON FEDERAL CREDIT UNION,1827 Capital Cir NE,"Tallahassee,",Florida,32308,,TEXAS BAY AREA CREDIT UNION
TAMPA BAY FEDERAL CREDIT UNION,3815 N. Nebraska Avenue,Tampa,Florida,33603,,TEXAS COMMUNITY FEDERAL CREDIT UNION
TEXAS BAY AREA CREDIT UNION,12611 Fuqua St,Houston,Texas,77034,,THE FINEST FEDERAL CREDIT UNION
TEXAS COMMUNITY FEDERAL CREDIT UNION,605 E Caesar,Kingsville,Texas,78363,,THE FOCUS FEDERAL CREDIT UNION
THE FINEST FEDERAL CREDIT UNION,59 Maiden Lane Lobby,New York,New York,10038,,THE NEW ORLEANS FIREMENS FEDERAL CREDIT UNION
THE FOCUS FEDERAL CREDIT UNION,420 N. E. 10th Street,Oklahoma City,Oklahoma,73104,,THE UNITED FEDERAL CREDIT UNION
THE NEW ORLEANS FIREMENS FEDERAL CREDIT UNION,4401 W Napoleon Ave,Metairie,Louisiana,70001,,tidemark
THE UNITED FEDERAL CREDIT UNION,3 Sunset Beach Road,Morgantown,West Virginia,26508,,TINKER FEDERAL CREDIT UNION
TINKER FEDERAL CREDIT UNION,P.O. Box 45750,Tinker AFB,Oklahoma,73145,,TOLEDO URBAN FEDERAL CREDIT UNION
TOLEDO URBAN FEDERAL CREDIT UNION,1441 Dorr Street,Toledo,Ohio,43607,,TONGASS FEDERAL CREDIT UNION
TONGASS FEDERAL CREDIT UNION,Tongass Federal Credit Union  2000 Tongass Avenue,Ketchikan,Alaska,99901,,TOTAL CHOICE FEDERAL CREDIT UNION
TOTAL CHOICE FEDERAL CREDIT UNION,14963 RIVER RD,HAHNVILLE,Louisiana,70057,,TRAILHEAD FEDERAL CREDIT UNION
TRAILHEAD FEDERAL CREDIT UNION,221 NW Second Ave,Portland,Oregon,97209,,TRAVIS CREDIT UNION
TRAVIS CREDIT UNION,1 Travis Way,Vacaville,California,95687,,TROUVAILLE FEDERAL CREDIT UNION
TROUVAILLE FEDERAL CREDIT UNION,4700 Wissahickon Ave,Philadelphia,Pennsylvania,19144,,TRUST FEDERAL CREDIT UNION
TRUST FEDERAL CREDIT UNION,P.O. Box 4751  1 Fountain Square Lobby,Chattanooga,Tennessee,37405,,TUCOEMAS FEDERAL CREDIT UNION
TUCOEMAS FEDERAL CREDIT UNION,PO BOX 5011,VISALIA,California,93278,,TUSCALOOSA CREDIT UNION
TUSCALOOSA CREDIT UNION,1100 21st Avenue,Tuscaloosa,Alabama,35401,,UBC FCU
UNIFIED HOMEOWNERS OF ILLINOIS FCU,4464 N. MILWAUKEE AVE.,CHICAGO,Illinois,60630,,UNIFIED HOMEOWNERS OF ILLINOIS FCU
UNION BAPTIST CHURCH FCU,2200 Smith Street,Fort Wayne,Indiana,46803,,UNION BAPTIST CHURCH FCU
UNITE BURLINGTON CREDIT UNION,1547 South Broadway,St. Louis,Missouri,63104,,UNITED CONSUMERS CREDIT UNION
UNITED CONSUMERS CREDIT UNION,1111 East 23rd Street,Independence,Missouri,64055,,UNITED CREDIT UNION
UNITED CREDIT UNION,802 East Breckenridge,Mexico,Missouri,65265,,UNIVERSITY OF LOUISIANA FEDERAL CREDIT UNION
UNIVERSITY OF LOUISIANA FEDERAL CREDIT UNION,619 McKinley Street  Suite 101,Lafayette,Louisiana,70503,,UNO FEDERAL CREDIT UNION
UNO FEDERAL CREDIT UNION,UNIVERSITY OF NEW ORLEANS  2000 LAKESHORE DR,NEW ORLEANS,Louisiana,70148,,UPSTATE FCU
UPSTATE FCU,1303 N Murray Ave,Anderson,South Carolina,29625,,US COMMUNITY CREDIT UNION
US COMMUNITY CREDIT UNION,2622 Old Lebanon Rd,Nashville,Tennessee,37214,,VERIDIAN CREDIT UNION
VERIDIAN CREDIT UNION,1827 Ansborough Avenue  PO Box 6000,Waterloo,Iowa,50701,,VISION FINANCIAL FCU
VISION FINANCIAL FCU,214 Pacific Ave,Durham,North Carolina,27704,,VOCAL CREDIT UNION
VOCAL CREDIT UNION,2910 Prospect Avenue,Helena,Montana,59601,,WAYNE WESTLAND FEDERAL CREDIT UNION
WAYNE WESTLAND FEDERAL CREDIT UNION,500 S. Wayne Road,Westland,Michigan,48186,,WHITE EARTH RESERVATION FEDERAL CREDIT UNION
WHITE EARTH RESERVATION FEDERAL CREDIT UNION,785 Hwy 59 S P.O. Box 360,Mahnomen,Minnesota,56557,,WJC FEDERAL CREDIT UNION
WJC FEDERAL CREDIT UNION,P.O Box 841,Damascus,Virginia,24236,,WORKERS CREDIT UNION
WORKERS CREDIT UNION,815 Main Street,Fitchburg,Massachusetts,1420,,YS FEDERAL CREDIT UNION
YS FEDERAL CREDIT UNION,217 xenia ave,yellow springs,Ohio,45387,,
