"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,12/31/2017 0:00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,1000.00,0.00,1000.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00
5,12/31/2017 0:00:00,6,0.00,0.00,0.00,0.00,0.00,0.00,285141.00,285141.00,0.00,0.00,0.00,0.00,1275926.00,0.00,1275926.00,0.00,0.00,0.00,81614.00,0.00,81614.00,0.00,0.00,0.00,312778.00,312778.00,0.00,189115.00,0.00,189115.00,0.00,0.00,0.00,2425143.00,2425143.00,0.00,674961.00,0.00,674961.00,6.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,4.00,6.00,4.00,0.00,0.00,2.00,4.00,10.00,99.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,130.00
6,12/31/2017 0:00:00,7,0.00,0.00,0.00,0.00,0.00,0.00,1244522.00,1244522.00,0.00,0.00,0.00,0.00,20587089.00,0.00,20587089.00,0.00,0.00,0.00,281250.00,0.00,281250.00,0.00,0.00,0.00,1330624.00,1081533.00,249091.00,23162.00,0.00,23162.00,3553950.00,0.00,3553950.00,25460197.00,25460197.00,0.00,51474.00,0.00,51474.00,8.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00,1.00,4.00,4.00,1.00,0.00,0.00,6.00,10.00,199.00,199.00,0.00,0.00,0.00,0.00,0.00,0.00,518.00
12,12/31/2017 0:00:00,11,0.00,0.00,0.00,0.00,0.00,0.00,329568.00,329568.00,0.00,0.00,0.00,0.00,2865716.00,0.00,2865716.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,364996.00,0.00,364996.00,159046.00,0.00,159046.00,3747436.00,3747436.00,0.00,28110.00,0.00,28110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
13,12/31/2017 0:00:00,12,0.00,0.00,0.00,0.00,0.00,0.00,13755594.00,13755594.00,0.00,2373123.00,2373123.00,0.00,38180413.00,0.00,38180413.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,11194454.00,0.00,11194454.00,65783827.00,65783827.00,0.00,280243.00,0.00,280243.00,4.00,4.00,0.00,0.00,0.00,0.00,3.00,4.00,0.00,0.00,3.00,4.00,7.00,1.00,0.00,0.00,0.00,1.00,8.00,767.00,419.00,0.00,0.00,0.00,0.00,0.00,0.00,1136.00
16,12/31/2017 0:00:00,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337616.00,0.00,337616.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40861.00,0.00,40861.00,0.00,0.00,0.00,378477.00,378477.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00
19,12/31/2017 0:00:00,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
22,12/31/2017 0:00:00,17,0.00,0.00,0.00,0.00,0.00,0.00,26709225.00,26709225.00,0.00,0.00,0.00,0.00,36310403.00,0.00,36310403.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,357423.00,0.00,357423.00,39231.00,0.00,39231.00,63460221.00,63460221.00,0.00,43939.00,0.00,43939.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,1597.00,0.00,0.00,0.00,0.00,0.00,0.00,159.00
26,12/31/2017 0:00:00,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502416.00,0.00,502416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502416.00,502416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00
28,12/31/2017 0:00:00,21,0.00,0.00,0.00,0.00,0.00,0.00,21974855.00,21974855.00,0.00,0.00,0.00,0.00,42410312.00,0.00,42410312.00,0.00,0.00,0.00,156430.00,0.00,156430.00,0.00,0.00,0.00,419486.00,419486.00,0.00,10439656.00,0.00,10439656.00,547894.00,0.00,547894.00,95953726.00,95953726.00,0.00,20581009.00,0.00,20581009.00,208.00,3.00,11.00,21.00,0.00,0.00,0.00,2.00,49.00,0.00,59.00,3.00,62.00,117.00,0.00,10.00,1.00,206.00,211.00,2088.00,1890.00,0.00,0.00,0.00,0.00,0.00,0.00,3021.00
42,12/31/2017 0:00:00,29,0.00,0.00,0.00,0.00,0.00,0.00,6148475.00,6148475.00,0.00,0.00,0.00,0.00,8046697.00,0.00,8046697.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15083280.00,15083280.00,0.00,888108.00,0.00,888108.00,20.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,15.00,0.00,14.00,5.00,0.00,12.00,0.00,5.00,20.00,127.00,408.00,4.00,0.00,0.00,0.00,0.00,0.00,54.00
47,12/31/2017 0:00:00,30,0.00,0.00,0.00,0.00,0.00,0.00,2326142.00,2326142.00,0.00,0.00,0.00,0.00,2184466.00,0.00,2184466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227558.00,0.00,227558.00,0.00,0.00,0.00,4738166.00,4738166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00
48,12/31/2017 0:00:00,31,0.00,0.00,0.00,0.00,0.00,0.00,32508.00,32508.00,0.00,0.00,0.00,0.00,1607300.00,0.00,1607300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163705.00,0.00,163705.00,201655.00,0.00,201655.00,2005168.00,2005168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,13.00,9.00,0.00,0.00,0.00,0.00,0.00,193.00
51,12/31/2017 0:00:00,32,0.00,0.00,0.00,0.00,0.00,0.00,135102003.00,135102003.00,0.00,0.00,0.00,0.00,218370649.00,0.00,218370649.00,682138.00,682138.00,0.00,7986912.00,0.00,7986912.00,0.00,0.00,0.00,43914786.00,43914786.00,0.00,34124133.00,0.00,34124133.00,42501707.00,0.00,42501707.00,470133270.00,470133270.00,0.00,40034778.00,0.00,40034778.00,305.00,0.00,6.00,25.00,0.00,0.00,58.00,0.00,69.00,0.00,177.00,0.00,168.00,97.00,0.00,31.00,0.00,126.00,305.00,9961.00,5845.00,5.00,0.00,0.00,0.00,0.00,0.00,4427.00
53,12/31/2017 0:00:00,33,0.00,0.00,0.00,0.00,0.00,0.00,3895634.00,3895634.00,0.00,0.00,0.00,0.00,9236387.00,0.00,9236387.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318435.00,318435.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14422609.00,14422609.00,0.00,1290588.00,0.00,1290588.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,132.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00
60,12/31/2017 0:00:00,35,0.00,0.00,0.00,0.00,0.00,0.00,3635677.00,3635677.00,0.00,988775.00,988775.00,0.00,33970565.00,0.00,33970565.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280356.00,1280356.00,0.00,2458652.00,0.00,2458652.00,1803076.00,0.00,1803076.00,47266688.00,47266688.00,0.00,4409943.00,0.00,4409943.00,94.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,1.00,0.00,25.00,0.00,25.00,69.00,0.00,10.00,0.00,69.00,94.00,29.00,0.00,675.00,0.00,0.00,0.00,0.00,0.00,1287.00
62,12/31/2017 0:00:00,36,0.00,0.00,0.00,0.00,0.00,0.00,190282.00,190282.00,0.00,0.00,0.00,0.00,599239.00,0.00,599239.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108195.00,0.00,108195.00,897716.00,897716.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
75,12/31/2017 0:00:00,40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
77,12/31/2017 0:00:00,41,0.00,0.00,0.00,0.00,0.00,0.00,1623564.00,1623564.00,0.00,1037542.00,1037542.00,0.00,0.00,0.00,0.00,7494.00,7494.00,0.00,430337.00,0.00,430337.00,0.00,0.00,0.00,464831.00,464831.00,0.00,26367.00,0.00,26367.00,0.00,0.00,0.00,9066774.00,9066774.00,0.00,6379301.00,0.00,6379301.00,77.00,4.00,0.00,0.00,0.00,0.00,14.00,1.00,0.00,3.00,30.00,4.00,34.00,47.00,0.00,10.00,0.00,47.00,81.00,144.00,0.00,264.00,3.00,0.00,0.00,0.00,3.00,478.00
78,12/31/2017 0:00:00,42,0.00,0.00,0.00,0.00,0.00,0.00,6405153.00,6405153.00,0.00,0.00,0.00,0.00,239361.00,0.00,239361.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1471827.00,1471827.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6644514.00,6644514.00,0.00,0.00,0.00,0.00,285.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,58.00,0.00,91.00,0.00,91.00,194.00,0.00,30.00,0.00,194.00,285.00,101.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,86.00
79,12/31/2017 0:00:00,43,0.00,0.00,0.00,0.00,0.00,0.00,20549366.00,20549366.00,0.00,1824295.00,1824295.00,0.00,33987013.00,0.00,33987013.00,0.00,0.00,0.00,2236172.00,0.00,2236172.00,0.00,0.00,0.00,7302181.00,7302181.00,0.00,277982.00,0.00,277982.00,10543124.00,0.00,10543124.00,75982547.00,75982547.00,0.00,8800767.00,0.00,8800767.00,226.00,2.00,26.00,111.00,0.00,0.00,41.00,0.00,17.00,2.00,69.00,2.00,71.00,20.00,0.00,8.00,0.00,154.00,228.00,1057.00,909.00,3.00,0.00,0.00,0.00,0.00,0.00,2025.00
82,12/31/2017 0:00:00,46,0.00,0.00,0.00,0.00,0.00,0.00,36845684.00,36845684.00,0.00,0.00,0.00,0.00,7361117.00,0.00,7361117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10557749.00,0.00,10557749.00,1795831.00,4620921.00,6416752.00,64680452.00,60059531.00,4620921.00,3499150.00,0.00,3499150.00,11.00,4.00,0.00,0.00,0.00,0.00,3.00,0.00,8.00,4.00,11.00,4.00,17.00,0.00,0.00,0.00,0.00,0.00,15.00,732.00,908.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00
90,12/31/2017 0:00:00,49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,645349.00,0.00,645349.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,645349.00,645349.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00
98,12/31/2017 0:00:00,54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,3.00
107,12/31/2017 0:00:00,57,0.00,0.00,0.00,0.00,0.00,0.00,336655.00,336655.00,0.00,0.00,0.00,0.00,4397018.00,0.00,4397018.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176880.00,0.00,176880.00,0.00,0.00,0.00,5591553.00,5591553.00,0.00,681000.00,0.00,681000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,136.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00
108,12/31/2017 0:00:00,58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326014.00,0.00,326014.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326014.00,326014.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,194.00
110,12/31/2017 0:00:00,59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,10.00,44.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00
112,12/31/2017 0:00:00,60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
118,12/31/2017 0:00:00,61,0.00,0.00,0.00,0.00,0.00,0.00,8213185.00,8213185.00,0.00,0.00,0.00,0.00,13781151.00,0.00,13781151.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,578378.00,0.00,578378.00,7506447.00,0.00,7506447.00,31620570.00,31620570.00,0.00,1541409.00,0.00,1541409.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.00,362.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00
119,12/31/2017 0:00:00,62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,499743.00,0.00,499743.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,499743.00,499743.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,18.00
120,12/31/2017 0:00:00,63,0.00,0.00,0.00,0.00,0.00,0.00,9880092.00,9880092.00,0.00,0.00,0.00,0.00,3867341.00,0.00,3867341.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750000.00,0.00,750000.00,15955454.00,15955454.00,0.00,1458021.00,0.00,1458021.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00
132,12/31/2017 0:00:00,69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,12/31/2017 0:00:00,70,0.00,0.00,0.00,0.00,0.00,0.00,1175660.00,1175660.00,0.00,0.00,0.00,0.00,3112935.00,0.00,3112935.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37399.00,0.00,37399.00,120994.00,0.00,120994.00,5572231.00,5572231.00,0.00,1125243.00,0.00,1125243.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,180.00,48.00,0.00,0.00,0.00,0.00,0.00,705.00
138,12/31/2017 0:00:00,72,0.00,0.00,0.00,0.00,0.00,0.00,345996.00,345996.00,0.00,0.00,0.00,0.00,2031128.00,0.00,2031128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2420472.00,2420472.00,0.00,43348.00,0.00,43348.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,157.00
146,12/31/2017 0:00:00,74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00
147,12/31/2017 0:00:00,75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,10.00
150,12/31/2017 0:00:00,77,0.00,0.00,0.00,0.00,0.00,0.00,14923080.00,14923080.00,0.00,0.00,0.00,0.00,63867163.00,0.00,63867163.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197152.00,197152.00,0.00,15424689.00,0.00,15424689.00,0.00,0.00,0.00,102309218.00,102309218.00,0.00,8094286.00,0.00,8094286.00,6.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,6.00,14.00,14.00,0.00,21.00,6.00,1.00,27.00,41.00,88.00,794.00,12.00,0.00,0.00,0.00,0.00,0.00,87.00
151,12/31/2017 0:00:00,78,0.00,0.00,0.00,0.00,0.00,0.00,21348036.00,21348036.00,0.00,0.00,0.00,0.00,207235029.00,0.00,207235029.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21999562.00,0.00,21999562.00,0.00,0.00,0.00,252034290.00,252034290.00,0.00,1451663.00,0.00,1451663.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,2.00,1501.00,1241.00,0.00,0.00,0.00,0.00,0.00,0.00,295.00
153,12/31/2017 0:00:00,80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,12/31/2017 0:00:00,83,0.00,0.00,0.00,0.00,0.00,0.00,16675069.00,16675069.00,0.00,48906608.00,48906608.00,0.00,74724551.00,0.00,74724551.00,0.00,0.00,0.00,3294392.00,0.00,3294392.00,0.00,0.00,0.00,29144172.00,29144172.00,0.00,8716875.00,0.00,8716875.00,12415318.00,0.00,12415318.00,198504894.00,198504894.00,0.00,37066473.00,0.00,37066473.00,1400.00,1.00,10.00,990.00,0.00,0.00,95.00,0.00,30.00,1.00,195.00,1.00,199.00,205.00,0.00,59.00,0.00,230.00,1401.00,2965.00,402.00,2644.00,0.00,0.00,0.00,0.00,0.00,1187.00
162,12/31/2017 0:00:00,85,0.00,0.00,0.00,0.00,0.00,0.00,5359125.00,5359125.00,0.00,0.00,0.00,0.00,11702799.00,0.00,11702799.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2955369.00,0.00,2955369.00,0.00,0.00,0.00,21986212.00,21986212.00,0.00,1968919.00,0.00,1968919.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227.00,0.00,177.00,0.00,0.00,0.00,0.00,0.00,97.00
167,12/31/2017 0:00:00,87,0.00,0.00,0.00,0.00,0.00,0.00,3260921.00,3260921.00,0.00,1458955.00,1458955.00,0.00,4499056.00,0.00,4499056.00,0.00,0.00,0.00,0.00,0.00,0.00,504171.00,0.00,504171.00,4963394.00,4963394.00,0.00,1120319.00,0.00,1120319.00,1685108.00,0.00,1685108.00,12024359.00,12024359.00,0.00,0.00,0.00,0.00,493.00,0.00,5.00,83.00,0.00,0.00,118.00,0.00,0.00,0.00,190.00,0.00,190.00,215.00,0.00,16.00,0.00,303.00,493.00,1164.00,398.00,0.00,56.00,0.00,0.00,0.00,56.00,2170.00
168,12/31/2017 0:00:00,88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3776209.00,0.00,3776209.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4773.00,0.00,4773.00,4000.00,0.00,4000.00,3784982.00,3784982.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,95.00
169,12/31/2017 0:00:00,89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
